t (s),E_ID,S_ID,t (h),Timestamp,DO,ORP,pH,EC,Temp,Valve_Position
1150,25,C,0:19:10,51:00.1,7.08,5.5,7.593,1084,22.712,Closed
1160,25,C,0:19:20,51:10.1,7.07,11,7.598,1084,22.714,Closed
1170,25,C,0:19:30,51:20.1,7.03,16.2,7.596,1082,22.714,Closed
1180,25,C,0:19:40,51:30.1,6.99,13.2,7.596,1081,22.712,Closed
1190,25,C,0:19:50,51:40.1,6.96,13.4,7.598,1081,22.709,Closed
1200,25,C,0:20:00,51:50.1,6.9,7.9,7.596,1081,22.71,Closed
1210,25,C,0:20:10,52:00.1,6.85,8,7.597,1080,22.71,Closed
1220,25,C,0:20:20,52:10.1,6.82,13.6,7.598,1080,22.711,Closed
1230,25,C,0:20:30,52:20.1,6.84,18.9,7.598,1081,22.711,Closed
1240,25,C,0:20:40,52:30.1,6.87,15.1,7.596,1081,22.71,Closed
1250,25,C,0:20:50,52:40.1,6.91,14.4,7.597,1080,22.707,Closed
1260,25,C,0:21:00,52:50.1,6.93,21.4,7.596,1080,22.707,Closed
1270,25,C,0:21:10,53:00.1,6.93,19.9,7.595,1080,22.706,Closed
1280,25,C,0:21:20,53:10.1,6.94,14.2,7.596,1080,22.704,Closed
1290,25,C,0:21:30,53:20.1,6.98,14.4,7.594,1080,22.704,Closed
1300,25,C,0:21:40,53:30.1,7,8.6,7.593,1079,22.703,Closed
1310,25,C,0:21:50,53:40.1,6.91,9.8,7.598,1079,22.704,Closed
1320,25,C,0:22:00,53:50.1,7.01,6.1,7.595,1079,22.7,Closed
1330,25,C,0:22:10,54:00.1,7.02,3.6,7.594,1079,22.697,Closed
1340,25,C,0:22:20,54:10.1,6.99,10.5,7.596,1078,22.694,Closed
1350,25,C,0:22:30,54:20.1,7.02,5,7.594,1079,22.69,Closed
1360,25,C,0:22:40,54:30.1,7.02,29.1,7.592,1078,22.691,Closed
1370,25,C,0:22:50,54:40.1,7.05,15.7,7.598,1078,22.69,Closed
1380,25,C,0:23:00,54:50.1,7.09,21.6,7.594,1078,22.69,Closed
1390,25,C,0:23:10,55:00.1,7.11,13.4,7.596,1078,22.689,Closed
1400,25,C,0:23:20,55:10.1,7.13,10.4,7.596,1077,22.685,Closed
1410,25,C,0:23:30,55:20.1,7.14,5.7,7.597,1078,22.686,Closed
1420,25,C,0:23:40,55:30.1,7.16,9.4,7.598,1077,22.687,Closed
1430,25,C,0:23:50,55:40.1,7.17,8.2,7.593,1076,22.687,Closed
1440,25,C,0:24:00,55:50.1,7.17,13.2,7.591,1076,22.683,Closed
1450,25,C,0:24:10,56:00.1,7.05,8.4,7.594,1076,22.681,Closed
1460,25,C,0:24:20,56:10.1,6.92,16.6,7.594,1076,22.684,Closed
1470,25,C,0:24:30,56:20.1,6.85,3.7,7.593,1075,22.685,Closed
1480,25,C,0:24:40,56:30.1,6.76,2.9,7.594,1075,22.685,Closed
1490,25,C,0:24:50,56:40.1,6.74,-1.4,7.597,1075,22.682,Closed
1500,25,C,0:25:00,56:50.1,6.66,2.2,7.594,1075,22.684,Closed
1510,25,C,0:25:10,57:00.1,6.6,-4.8,7.596,1075,22.684,Closed
1520,25,C,0:25:20,57:10.1,6.55,-16.1,7.59,1074,22.686,Closed
1530,25,C,0:25:30,57:20.1,6.66,-7.1,7.593,1074,22.685,Closed
1540,25,C,0:25:40,57:30.1,6.6,3.7,7.597,1074,22.684,Closed
1550,25,C,0:25:50,57:40.1,6.67,-11,7.596,1074,22.679,Closed
1560,25,C,0:26:00,57:50.1,6.73,-16.1,7.595,1074,22.677,Closed
1570,25,C,0:26:10,58:00.1,6.79,-10,7.592,1075,22.677,Closed
1580,25,C,0:26:20,58:10.1,6.83,-14.2,7.595,1074,22.676,Closed
1590,25,C,0:26:30,58:20.1,6.85,-16.8,7.594,1073,22.673,Closed
1600,25,C,0:26:40,58:30.1,6.84,-23,7.594,1074,22.672,Closed
1610,25,C,0:26:50,58:40.1,6.81,-23.8,7.593,1074,22.668,Closed
1620,25,C,0:27:00,58:50.1,6.87,-26.7,7.596,1073,22.668,Closed
1630,25,C,0:27:10,59:00.1,6.84,-13.8,7.596,1073,22.668,Closed
1640,25,C,0:27:20,59:10.1,6.86,-21.8,7.592,1073,22.666,Closed
1650,25,C,0:27:30,59:20.1,6.88,-25,7.593,1072,22.664,Closed
1660,25,C,0:27:40,59:30.1,6.88,-25.9,7.594,1073,22.664,Closed
1670,25,C,0:27:50,59:40.1,6.88,-29.1,7.595,1072,22.662,Closed
1680,25,C,0:28:00,59:50.1,6.89,-27.1,7.59,1072,22.659,Closed
1690,25,C,0:28:10,00:00.1,6.91,-24.8,7.594,1072,22.656,Closed
1700,25,C,0:28:20,00:10.1,6.93,-13,7.595,1072,22.655,Closed
1710,25,C,0:28:30,00:20.1,6.93,-23.9,7.596,1073,22.654,Closed
1720,25,C,0:28:40,00:30.1,6.92,-21.7,7.594,1072,22.651,Closed
1730,25,C,0:28:50,00:40.1,6.93,-16.6,7.596,1072,22.649,Closed
1740,25,C,0:29:00,00:50.1,6.94,-24.2,7.594,1071,22.648,Closed
1750,25,C,0:29:10,01:00.1,6.9,-16.6,7.593,1071,22.646,Closed
1760,25,C,0:29:20,01:10.1,6.88,-15.8,7.593,1071,22.644,Closed
1770,25,C,0:29:30,01:20.1,6.87,-13.3,7.594,1071,22.639,Closed
1780,25,C,0:29:40,01:30.1,6.85,-16.7,7.593,1071,22.642,Closed
1790,25,C,0:29:50,01:40.1,6.84,-27.9,7.593,1071,22.64,Closed
1800,25,C,0:30:00,01:50.1,6.79,-25.5,7.594,1071,22.637,Closed
1810,25,C,0:30:10,02:00.1,6.79,-27.8,7.595,1070,22.637,Closed
1820,25,C,0:30:20,02:10.1,6.78,-29.1,7.591,1070,22.636,Closed
1830,25,C,0:30:30,02:20.1,6.77,-32.3,7.594,1070,22.633,Closed
1840,25,C,0:30:40,02:30.1,6.75,-30.8,7.594,1070,22.63,Closed
1850,25,C,0:30:50,02:40.1,6.74,-31.1,7.593,1070,22.631,Closed
1860,25,C,0:31:00,02:50.1,6.73,-33.9,7.593,1069,22.627,Closed
1870,25,C,0:31:10,03:00.1,6.71,-34.8,7.591,1069,22.626,Closed
1880,25,C,0:31:20,03:10.1,6.68,-35.4,7.593,1068,22.623,Closed
1890,25,C,0:31:30,03:20.1,6.66,-26.4,7.593,1069,22.621,Closed
1900,25,C,0:31:40,03:30.1,6.65,-32.5,7.592,1068,22.62,Closed
1910,25,C,0:31:50,03:40.1,6.63,-31.4,7.593,1068,22.62,Closed
1920,25,C,0:32:00,03:50.1,6.62,2.6,7.593,1068,22.615,Closed
1930,25,C,0:32:10,04:00.1,6.6,-25.2,7.594,1068,22.611,Closed
1940,25,C,0:32:20,04:10.1,6.59,-27.1,7.593,1068,22.607,Closed
1950,25,C,0:32:30,04:20.1,6.55,-18.8,7.594,1067,22.608,Closed
1960,25,C,0:32:40,04:30.1,6.53,-14.8,7.595,1067,22.608,Closed
1970,25,C,0:32:50,04:40.1,6.53,-21.5,7.596,1067,22.606,Closed
1980,25,C,0:33:00,04:50.1,6.54,-23.7,7.594,1066,22.606,Closed
1990,25,C,0:33:10,05:00.1,6.54,4.1,7.594,1067,22.602,Closed
2000,25,C,0:33:20,05:10.1,6.52,-18.1,7.594,1067,22.601,Closed
2010,25,C,0:33:30,05:20.1,6.52,-20.3,7.596,1067,22.598,Closed
2020,25,C,0:33:40,05:30.1,6.5,-12,7.598,1066,22.597,Closed
2030,25,C,0:33:50,05:40.1,6.52,-17.1,7.593,1066,22.598,Closed
2040,25,C,0:34:00,05:50.1,6.51,-21.1,7.596,1066,22.596,Closed
2050,25,C,0:34:10,06:00.1,6.47,-23.6,7.594,1066,22.596,Closed
2060,25,C,0:34:20,06:10.1,6.42,-25.8,7.593,1065,22.595,Closed
2070,25,C,0:34:30,06:20.1,6.41,-16.6,7.591,1066,22.592,Closed
2080,25,C,0:34:40,06:30.1,6.39,-24.8,7.592,1065,22.588,Closed
2090,25,C,0:34:50,06:40.1,6.39,-21.1,7.593,1065,22.587,Closed
2100,25,C,0:35:00,06:50.1,6.37,-19.1,7.592,1065,22.584,Closed
2110,25,C,0:35:10,07:00.1,6.33,-12.4,7.59,1064,22.587,Closed
2120,25,C,0:35:20,07:10.1,6.3,-18.5,7.591,1065,22.586,Closed
2130,25,C,0:35:30,07:20.1,6.28,-17.2,7.594,1064,22.583,Closed
2140,25,C,0:35:40,07:30.1,6.24,-17.6,7.593,1065,22.581,Closed
2150,25,C,0:35:50,07:40.1,6.22,-25.3,7.593,1064,22.581,Closed
2160,25,C,0:36:00,07:50.1,6.2,-23.9,7.592,1064,22.576,Closed
2170,25,C,0:36:10,08:00.1,6.17,-28.9,7.592,1063,22.574,Closed
2180,25,C,0:36:20,08:10.1,6.16,-28,7.594,1063,22.569,Closed
2190,25,C,0:36:30,08:20.1,6.15,-22.3,7.592,1063,22.569,Closed
2200,25,C,0:36:40,08:30.1,6.14,-33.8,7.592,1063,22.565,Closed
2210,25,C,0:36:50,08:40.1,6.13,-32.3,7.592,1063,22.562,Closed
2220,25,C,0:37:00,08:50.1,6.13,-15.6,7.592,1063,22.558,Closed
2230,25,C,0:37:10,09:00.1,6.11,-16.8,7.591,1062,22.558,Closed
2240,25,C,0:37:20,09:10.1,6.1,-29,7.592,1063,22.555,Closed
2250,25,C,0:37:30,09:20.1,6.08,-33.6,7.593,1063,22.554,Closed
2260,25,C,0:37:40,09:30.1,6.09,-34,7.591,1062,22.55,Closed
2270,25,C,0:37:50,09:40.1,6.08,-34.1,7.589,1055,22.546,Closed
2280,25,C,0:38:00,09:50.1,6.08,-30,7.589,1055,22.542,Closed
2290,25,C,0:38:10,10:00.1,6.06,-35.6,7.593,1054,22.54,Closed
2300,25,C,0:38:20,10:10.1,6.05,-34.9,7.589,1055,22.538,Closed
2310,25,C,0:38:30,10:20.1,6.04,-35.2,7.59,1054,22.534,Closed
2320,25,C,0:38:40,10:30.1,6.04,8,7.589,1053,22.529,Closed
2330,25,C,0:38:50,10:40.1,6.01,-32.5,7.587,1052,22.528,Closed
2340,25,C,0:39:00,10:50.1,6.03,-34.5,7.589,1052,22.526,Closed
2350,25,C,0:39:10,11:00.1,5.99,-41.1,7.59,1052,22.522,Closed
2360,25,C,0:39:20,11:10.1,6,-44.5,7.589,1052,22.52,Closed
2370,25,C,0:39:30,11:20.1,5.99,-35.4,7.589,1052,22.522,Closed
2380,25,C,0:39:40,11:30.1,5.99,-28.4,7.59,1052,22.517,Closed
2390,25,C,0:39:50,11:40.1,6.15,-31.8,7.591,1052,22.516,Closed
2400,25,C,0:40:00,11:50.1,6.36,-32.6,7.591,1051,22.515,Closed
2410,25,C,0:40:10,12:00.1,6.48,-24.1,7.591,1051,22.512,Closed
2420,25,C,0:40:20,12:10.1,6.55,-32.7,7.591,1051,22.508,Closed
2430,25,C,0:40:30,12:20.1,6.57,-31.6,7.59,1051,22.505,Closed
2440,25,C,0:40:40,12:30.1,6.64,-29.4,7.589,1051,22.504,Closed
2450,25,C,0:40:50,12:40.1,6.67,-27.7,7.591,1051,22.501,Closed
2460,25,C,0:41:00,12:50.1,6.7,-31.1,7.589,1043,22.501,Closed
2470,25,C,0:41:10,13:00.1,6.74,-16.6,7.593,593.1,22.501,Closed
2480,25,C,0:41:20,13:10.1,7.38,-27.1,7.59,613.4,22.501,Closed
2490,25,C,0:41:30,13:20.1,7.72,13.6,7.591,663.6,22.499,Closed
2500,25,C,0:41:40,13:30.1,7.92,-2.2,7.589,620.4,22.497,Closed
2510,25,C,0:41:50,13:40.1,8.05,-15.3,7.59,529.6,22.495,Closed
2520,25,C,0:42:00,13:50.1,8.14,-22.3,7.588,423.4,22.493,Closed
2530,25,C,0:42:10,14:00.1,8.2,-8.9,7.589,475,22.492,Closed
2540,25,C,0:42:20,14:10.1,8.25,-21.6,7.59,480.8,22.489,Closed
